,person,credit_type,year,title,imdb_link,media_type,total_episode_count,add_info,year_start,year_end
7532,Fred Armisen,self,2016-2022,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Self / Self - Host / Osama Bin Laden / ...",5,"2016-2022

Saturday Night Live
(TV Series)

Self / Self - Host / Osama Bin Laden / ...

- Natasha Lyonne/Japanese Breakfast
(2022)
... Self (uncredited)


- SNL At Home: Brad Pitt/Miley Cyrus
(2020)
... Self (uncredited)


- Saturday Night Live at Home: Tom Hanks/Chris Martin
(2020)
... Self (uncredited)


- Fred Armisen/Courtney Barnett
(2016)
... Self - Host / Osama Bin Laden / Regine / ...


- Adam Driver/Chris Stapleton
(2016)
... Self - Guest (uncredited)",2016,2022
7607,Fred Armisen,archive_footage,2009-2009,Saturday Night Live,https://www.imdb.com/title/tt1372614/,"(TV Series)

Self - Various Characters",1,"2009

Saturday Night Live
(TV Series)

Self - Various Characters

- Rafaella Carrà
(2009)
... Self - Various Characters",2009,2009
7622,Fred Armisen,actor,2002-2021,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / Barack Obama / Prince / ...",237,"2002-2021

Saturday Night Live
(TV Series)

Various / Barack Obama / Prince / ...

- Jason Sudeikis/Brandi Carlile
(2021)
... Giuseppe (uncredited)


- John Mulaney/David Byrne
(2020)
... Mike Bloomberg (uncredited)


- RuPaul/Justin Bieber
(2020)
... Michael Bloomberg (uncredited)


- Eddie Murphy/Lizzo
(2019)
... Mike Bloomberg (uncredited)


- Will Ferrell/King Princess
(2019)
... Michael Bloomberg / Pocahontas' father (uncredited)





Show all 237 episodes",2002,2021
7778,Fred Armisen,archive_footage,2021-2021,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Piano player",1,"2021

Saturday Night Live
(TV Series)

Piano player

- Paul Rudd/Charli XCX
(2021)
... Piano player (uncredited)",2021,2021
7841,Morwenna Banks,actress,1995-1995,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various",3,"1995

Saturday Night Live
(TV Series)

Various

- Bob Saget/TLC
(1995)
... Various


- Courteney Cox/Dave Matthews Band
(1995)
... Various


- Damon Wayans/Dionne Farris
(1995)
... Various",1995,1995
7930,Morwenna Banks,self,1995-1995,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Self / Becky Lynn / Mary Wade / ...",1,"1995

Saturday Night Live
(TV Series)

Self / Becky Lynn / Mary Wade / ...

- David Duchovny/Rod Stewart
(1995)
... Self / Becky Lynn / Mary Wade / ...",1995,1995
7977,Vanessa Bayer,archive_footage,2021-2021,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Naughty Elf",1,"2021

Saturday Night Live
(TV Series)

Naughty Elf

- Paul Rudd/Charli XCX
(2021)
... Naughty Elf (uncredited)",2021,2021
7993,Vanessa Bayer,actress,2010-2017,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / Miley Cyrus / Jacob / ...",149,"2010-2017

Saturday Night Live
(TV Series)

Various / Miley Cyrus / Jacob / ...

- Dwayne Johnson/Katy Perry
(2017)
... Dat Snatch / Dawn Lazarus / Various


- Melissa McCarthy/Haim
(2017)
... Various


- Chris Pine/LCD Soundsystem
(2017)
... Nadine / Dawn Lazarus / Auto Shop Customer / ...


- Jimmy Fallon/Harry Styles
(2017)
... Haley / Jacob / Sasha


- Louis C.K./The Chainsmokers
(2017)
... Various





Show all 149 episodes",2010,2017
8037,Beck Bennett,actor,2013-2021,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / Vladimir Putin / Mike Pence / ...",164,"2013-2021

Saturday Night Live
(TV Series)

Various / Vladimir Putin / Mike Pence / ...

- Anya Taylor-Joy/Lil Nas X
(2021)
... Various


- Keegan-Michael Key/Olivia Rodrigo
(2021)
... Various


- Elon Musk/Miley Cyrus
(2021)
... Various


- Carey Mulligan/Kid Cudi
(2021)
... Various


- Daniel Kaluuya/St. Vincent
(2021)
... Various





Show all 164 episodes",2013,2021
8171,Jim Breuer,self,1995-1996,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Self / Various / Hoagie / ...",3,"1995-1996

Saturday Night Live
(TV Series)

Self / Various / Hoagie / ...

- John Goodman/Everclear
(1996)
... Self / Various / Hoagie / ...


- Christopher Walken/Joan Osborne
(1996)
... Self / Various


- Chevy Chase/Lisa Loeb and Nine Stories
(1995)
... Self / Pilot / Various",1995,1996
8193,Jim Breuer,actor,1995-1998,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / Joe Pesci / Goat Boy / ...",57,"1995-1998

Saturday Night Live
(TV Series)

Various / Joe Pesci / Goat Boy / ...

- David Duchovny/Puff Daddy/Jimmy Page
(1998)
... Police officer / Goat Boy / Rick


- Matthew Broderick/Natalie Merchant
(1998)
... Various


- Greg Kinnear/All Saints
(1998)
... Various


- Steve Buscemi/Third Eye Blind
(1998)
... Various


- Julianne Moore/Backstreet Boys
(1998)
... Matt Damon / Various





Show all 57 episodes",1995,1998
8264,Paul Brittain,actor,2010-2012,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / Ron Paul / Johnny Depp / ...",34,"2010-2012

Saturday Night Live
(TV Series)

Various / Ron Paul / Johnny Depp / ...

- Daniel Radcliffe/Lana Del Rey
(2012)
... Draco Malfoy / Various


- Charles Barkley/Kelly Clarkson
(2012)
... Cecil / Various


- Jimmy Fallon/Michael Bublé
(2011)
... Various


- Katy Perry/Robyn
(2011)
... Osama bin Laden / Various


- Steve Buscemi/The Black Keys
(2011)
... Aquaman / Ed Vincent / Various





Show all 34 episodes",2010,2012
8266,Aidy Bryant,actress,2012-2022,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / Morgan / Mrs. Claus / ...",203,"2012-2022

Saturday Night Live
(TV Series)

Various / Morgan / Mrs. Claus / ...

- Natasha Lyonne/Japanese Breakfast
(2022)


- Selena Gomez/Post Malone
(2022)
... Various


- Lizzo
(2022)
... Shelly / music producer / old woman caked in make-up / ...


- Jake Gyllenhaal/Camila Cabello
(2022)
... Janet / trend Forecaster / trucker


- Jerrod Carmichael/Gunna
(2022)
... (credit only)





Show all 203 episodes",2012,2022
8286,Aidy Bryant,self,2021-2022,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Self / Strish / Debra / ...",3,"2021-2022

Saturday Night Live
(TV Series)

Self / Strish / Debra / ...

- Benedict Cumberbatch/Arcade Fire
(2022)
... Self / Strish


- Oscar Isaac/Charli XCX
(2022)
... Self / Debra / Poppolim the meatball / ...


- Rami Malek/Young Thug
(2021)
... Various",2021,2022
8365,Beth Cahill,actress,1991-1992,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / Pam / Spectator / ...",13,"1991-1992

Saturday Night Live
(TV Series)

Various / Pam / Spectator / ...

- Woody Harrelson/Vanessa Williams
(1992)
... Pam / Spectator


- Jerry Seinfeld/Annie Lennox
(1992)
... Various


- Mary Stuart Masterson/En Vogue
(1992)
... Various


- John Goodman/Garth Brooks
(1992)
... Various / Pam Hurn


- Roseanne & Tom Arnold/Red Hot Chili Peppers
(1992)
... Pam





Show all 13 episodes",1991,1992
8460,Dana Carvey,archive_footage,2018-2021,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Paul McCartney / George Bush",2,"2018-2021

Saturday Night Live
(TV Series)

Paul McCartney / George Bush

- Paul Rudd/Charli XCX
(2021)
... Paul McCartney (uncredited)


- Claire Foy/Anderson .Paak
(2018)
... George Bush",2018,2021
8491,Dana Carvey,actor,1986-2016,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / Church Lady / George Bush / ...",130,"1986-2016

Saturday Night Live
(TV Series)

Various / Church Lady / George Bush / ...

- Benedict Cumberbatch/Solange
(2016)
... Church Lady (uncredited)


- Brie Larson/Alicia Keys
(2016)
... Church Lady (uncredited)


- Robert De Niro/Diddy-Dirty Money
(2010)
... Hippie (voice)


- Christopher Walken/Christina Aguilera
(2000)
... George Bush (uncredited)


- Heather Graham/Marc Anthony
(1999)
... Hans (uncredited)





Show all 130 episodes",1986,2016
8540,Dana Carvey,self,1987-2011,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Self - Host / Various / Church Lady / ...",6,"1987-2011

Saturday Night Live
(TV Series)

Self - Host / Various / Church Lady / ...

- Dana Carvey/Linkin Park
(2011)
... Self - Host / Various / Garth Algar / ...


- Dana Carvey/The Wallflowers
(2000)
... Self - Host / Various / George Bush / ...


- Dana Carvey/Dr. Dre
(1996)
... Self - Host / Various / Ross Perot / ...


- Dana Carvey/Edie Brickell & Paul Simon
(1994)
... Self - Host


- Roseanne Barr/Deee-lite
(1991)
... Self / Chris / kid





Show all 6 episodes",1987,2011
8646,Ellen Cleghorne,actress,1991-1995,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / Queen Shenequa / Robin Quivers / ...",77,"1991-1995

Saturday Night Live
(TV Series)

Various / Queen Shenequa / Robin Quivers / ...

- Bob Saget/TLC
(1995)
... Various


- Courteney Cox/Dave Matthews Band
(1995)
... Various


- Damon Wayans/Dionne Farris
(1995)
... Various


- John Goodman/Tragically Hip
(1995)
... Various / Robin Quivers


- Paul Reiser/Annie Lennox
(1995)
... Various





Show all 77 episodes",1991,1995
8659,Ellen Cleghorne,self,1992-1995,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Self / Audience members / Dr. Dre / ...",3,"1992-1995

Saturday Night Live
(TV Series)

Self / Audience members / Dr. Dre / ...

- David Duchovny/Rod Stewart
(1995)
... Self / Audience members


- Jeff Goldblum/Aerosmith
(1993)
... Self / Dr. Dre / Patron / ...


- Christopher Walken/Arrested Development
(1992)
... Self / Various",1992,1995
8714,George Coe,actor,1975-1986,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / Judge / Epoxy-Dent Spokesman / ...",10,"1975-1986

Saturday Night Live
(TV Series)

Various / Judge / Epoxy-Dent Spokesman / ...

- William Shatner/Lone Justice
(1986)
... Judge (uncredited)


- Walter Matthau
(1978)
... Epoxy-Dent Spokesman (uncredited)


- Elliott Gould/Leon Redbone, Harlan Collins & Joyce Everson
(1976)
... Instructor (uncredited)


- Buck Henry/Gordon Lightfoot
(1976)
... Security Guard / extra (uncredited)


- Desi Arnaz/Desi Arnaz, Jr.
(1976)
... Walter Winchell (uncredited)





Show all 10 episodes",1975,1986
8846,Joan Cusack,actress,1985-1986,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / Brooke Shields / Salena / ...",17,"1985-1986

Saturday Night Live
(TV Series)

Various / Brooke Shields / Salena / ...

- Anjelica Huston and Billy Martin/George Clinton & Parliament-Funkadelic
(1986)
... Various


- Jimmy Breslin and Marvin Hagler/Level 42/E.G. Daily
(1986)
... Jennifer Hicks


- Catherine Oxenberg and Paul Simon/Ladysmith Black Mambazo
(1986)
... Jane Fonda / Mrs. Garfunkel / Various


- Tony Danza/Laurie Anderson
(1986)
... Queen Elizabeth / Salena / Various


- Oprah Winfrey/Joe Jackson
(1986)
... Various





Show all 17 episodes",1985,1986
8936,Joan Cusack,self,1986-1986,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Self / Various",1,"1986

Saturday Night Live
(TV Series)

Self / Various

- George Wendt and Francis Ford Coppola/Philip Glass
(1986)
... Self / Various",1986,1986
8943,Pete Davidson,actor,2014-2022,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / Resident Young Person / Self / ...",160,"2014-2022

Saturday Night Live
(TV Series)

Various / Resident Young Person / Self / ...

- Natasha Lyonne/Japanese Breakfast
(2022)


- Selena Gomez/Post Malone
(2022)
... (credit only)


- Benedict Cumberbatch/Arcade Fire
(2022)
... (credit only)


- Lizzo
(2022)
... (credit only)


- Jake Gyllenhaal/Camila Cabello
(2022)
... (credit only)





Show all 160 episodes",2014,2022
9034,Pete Davidson,self,2021-2022,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Self / Various",4,"2021-2022

Saturday Night Live
(TV Series)

Self / Various

- Jerrod Carmichael/Gunna
(2022)
... Self


- Will Forte/Måneskin
(2022)
... Self / Various


- Rami Malek/Young Thug
(2021)
... Various


- Owen Wilson/Kacey Musgraves
(2021)
... Self / Various",2021,2022
9089,Denny Dillon,actress,1980-1981,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / Pinky Waxman / Amy Carter / ...",13,"1980-1981

Saturday Night Live
(TV Series)

Various / Pinky Waxman / Amy Carter / ...

- Jr. Walker & the All-Stars
(1981)
... Bag Lady / Various


- Bill Murray/Delbert McClinton
(1981)
... Betsy Maxwell / Fayetta Lurlene Dawson Hightower Dawson / Various


- Charlene Tilton/Todd Rundgren/Prince
(1981)
... Mrs. Hudley / Mary Todd Lincoln / Mary Louise / ...


- Deborah Harry
(1981)
... Pinky Waxman / Debbie / Various


- Sally Kellerman/Jimmy Cliff
(1981)
... Felicia Fitznichols / Various





Show all 13 episodes",1980,1981
9161,Robert Downey Jr.,actor,1985-1986,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / Rudy Randolph III / Jimmy Chance / ...",16,"1985-1986

Saturday Night Live
(TV Series)

Various / Rudy Randolph III / Jimmy Chance / ...

- Anjelica Huston and Billy Martin/George Clinton & Parliament-Funkadelic
(1986)
... Jimmy Chance / Various (as Robert Downey)


- Jimmy Breslin and Marvin Hagler/Level 42/E.G. Daily
(1986)
... Various (as Robert Downey)


- Catherine Oxenberg and Paul Simon/Ladysmith Black Mambazo
(1986)
... Young Paul Simon / Dirk Landers / Various (as Robert Downey)


- Tony Danza/Laurie Anderson
(1986)
... Dr. Pummel / Various (as Robert Downey)


- Griffin Dunne/Rosanne Cash
(1986)
... Rudy Randolph III (as Robert Downey)





Show all 16 episodes",1985,1986
9287,Robert Downey Jr.,self,1986-1996,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Self / Various / Self - Host / ...",3,"1986-1996

Saturday Night Live
(TV Series)

Self / Various / Self - Host / ...

- Robert Downey Jr/Fiona Apple
(1996)
... Self - Host / Dawson / Mr. Music / ...


- Oprah Winfrey/Joe Jackson
(1986)
... Self / John Cougar Mellencamp / Jimmy Chance / ... (as Robert Downey)


- George Wendt and Francis Ford Coppola/Philip Glass
(1986)
... Self / Various (as Robert Downey)",1986,1996
9655,Rachel Dratch,archive_footage,2009-2009,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Visitor",1,"2009

Saturday Night Live
(TV Series)

Visitor

- Will Ferrell/Green Day
(2009)
... Visitor (uncredited)",2009,2009
9673,Rachel Dratch,actress,1999-2020,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / Debbie Downer / Sheldon / ...",145,"1999-2020

Saturday Night Live
(TV Series)

Various / Debbie Downer / Sheldon / ...

- Daniel Craig/The Weeknd
(2020)
... Debbie Downer (uncredited)


- John Mulaney/David Byrne
(2020)
... Amy Klobuchar (uncredited)


- RuPaul/Justin Bieber
(2020)
... Amy Klobuchar (uncredited)


- Eddie Murphy/Lizzo
(2019)
... Amy Klobuchar (uncredited)


- Will Ferrell/King Princess
(2019)
... Amy Klobuchar (uncredited)





Show all 145 episodes",1999,2020
9731,Rachel Dratch,self,2002-2021,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Self / various",5,"2002-2021

Saturday Night Live
(TV Series)

Self / various

- Maya Rudolph/Jack Harlow
(2021)
... Self (uncredited)


- Saturday Night Live at Home: Tom Hanks/Chris Martin
(2020)
... Self (uncredited)


- Mick Jagger
(2012)
... Self (uncredited)


- Amy Poehler/Katy Perry
(2010)
... Self (uncredited)


- Jon Stewart/India.Arie
(2002)
... Self / various",2002,2021
9842,Nora Dunn,actress,1985-1990,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / Pat Stevens / Babette / ...",88,"1985-1990

Saturday Night Live
(TV Series)

Various / Pat Stevens / Babette / ...

- Candice Bergen/The Notting Hillbillies
(1990)
... Various


- Alec Baldwin/The B-52's
(1990)
... Various


- Corbin Bernsen/The Smithereens
(1990)
... Various


- Debra Winger/Eric Clapton
(1990)
... Various


- Rob Lowe/The Pogues
(1990)
... Various





Show all 88 episodes",1985,1990
9857,Nora Dunn,self,1986-1990,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Self / Leona Helmsley / Ms. Parsons / ...",3,"1986-1990

Saturday Night Live
(TV Series)

Self / Leona Helmsley / Ms. Parsons / ...

- Andrew Dice Clay/Julee Cruise/Spanic Boys
(1990)
... Self (credit only)


- Rick Moranis/Rickie Lee Jones
(1989)
... Self / Leona Helmsley / Ms. Parsons


- George Wendt and Francis Ford Coppola/Philip Glass
(1986)
... Self / Alice Kramden / Various",1986,1990
9961,Dean Edwards,actor,2001-2003,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / Randy Jackson / Rushion Brown / ...",40,"2001-2003

Saturday Night Live
(TV Series)

Various / Randy Jackson / Rushion Brown / ...

- Dan Aykroyd/Beyonce
(2003)
... Various


- Adrien Brody/Sean Paul & Wayne Wonder
(2003)
... Various / Randy Jackson


- Ashton Kutcher/50 Cent
(2003)
... Various


- Ray Romano/Zwan
(2003)
... Various


- Bernie Mac/Good Charlotte
(2003)
... Various / Rushion Brown





Show all 40 episodes",2001,2003
10074,Abby Elliott,actress,2008-2012,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / Zooey Deschanel / Meryl Streep / ...",81,"2008-2012

Saturday Night Live
(TV Series)

Various / Zooey Deschanel / Meryl Streep / ...

- Mick Jagger
(2012)
... Jewel / Shirley / Various


- Will Ferrell/Usher
(2012)
... Various


- Eli Manning/Rihanna
(2012)
... Khloé Kardashian / Various


- Josh Brolin/Gotye
(2012)
... Ke$ha / Various


- Sofía Vergara/One Direction
(2012)
... Zooey Deschanel / Katniss / Paula / ...





Show all 81 episodes",2008,2012
10135,Chris Elliott,actor,1994-1995,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / John Liland / Operator / ...",19,"1994-1995

Saturday Night Live
(TV Series)

Various / John Liland / Operator / ...

- Bob Saget/TLC
(1995)
... Various


- Courteney Cox/Dave Matthews Band
(1995)
... Various


- Damon Wayans/Dionne Farris
(1995)
... Various


- John Goodman/Tragically Hip
(1995)
... Various


- Paul Reiser/Annie Lennox
(1995)
... Various





Show all 19 episodes",1994,1995
10212,Chris Elliott,self,1995-1995,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Self / Tommy",1,"1995

Saturday Night Live
(TV Series)

Self / Tommy

- David Duchovny/Rod Stewart
(1995)
... Self / Tommy",1995,1995
10248,Siobhan Fallon Hogan,actress,1991-1992,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / Meg / Passerby / ...",20,"1991-1992

Saturday Night Live
(TV Series)

Various / Meg / Passerby / ...

- Woody Harrelson/Vanessa Williams
(1992)
... Passerby / Meg / Spectator (as Siobhan Fallon)


- Tom Hanks/Bruce Springsteen
(1992)
... Various (as Siobhan Fallon)


- Jerry Seinfeld/Annie Lennox
(1992)
... Various (as Siobhan Fallon)


- Sharon Stone/Pearl Jam
(1992)
... Mrs. Crabshell / Phyllis / neighbor (as Siobhan Fallon)


- Mary Stuart Masterson/En Vogue
(1992)
... Various (as Siobhan Fallon)





Show all 20 episodes",1991,1992
10310,Chris Farley,self,1992-1997,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Self / Matt Foley / Various / ...",5,"1992-1997

Saturday Night Live
(TV Series)

Self / Matt Foley / Various / ...

- Chris Farley/The Mighty Mighty Bosstones
(1997)
... Self - Host / Ted Durgen / Mickey / ...


- David Duchovny/Rod Stewart
(1995)
... Self / Beverly Gelfand / Norm


- Heather Locklear/Janet Jackson
(1994)
... Self / Jake Hanson / Patron / ...


- Alec Baldwin/Paul McCartney
(1993)
... Self / Various / Cindy


- Tom Hanks/Bruce Springsteen
(1992)
... Self / Various / Sandman",1992,1997
10320,Chris Farley,archive_footage,1993-2021,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Dom Deluise / Todd O'Connor",2,"1993-2021

Saturday Night Live
(TV Series)

Dom Deluise / Todd O'Connor

- Paul Rudd/Charli XCX
(2021)
... Dom Deluise (uncredited)


- Danny DeVito/Bon Jovi
(1993)
... Todd O'Connor",1993,2021
10351,Chris Farley,actor,1990-1996,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / Todd O'Connor / Tom Arnold / ...",96,"1990-1996

Saturday Night Live
(TV Series)

Various / Todd O'Connor / Tom Arnold / ...

- Danny Aiello/Coolio
(1996)
... Newt Gingrich / Self (uncredited)


- Bob Saget/TLC
(1995)
... Various


- Courteney Cox/Dave Matthews Band
(1995)
... Various


- Damon Wayans/Dionne Farris
(1995)
... Various


- John Goodman/Tragically Hip
(1995)
... Various / Todd O'Connor





Show all 96 episodes",1990,1996
10702,Will Ferrell,archive_footage,2003-2006,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

The Tony Bennett Show Announcer",3,"2003-2006

Saturday Night Live
(TV Series)

The Tony Bennett Show Announcer

- Alec Baldwin/Christina Aguilera
(2006)
... The Tony Bennett Show Announcer (uncredited)


- Alec Baldwin/Shakira
(2005)
... The Tony Bennett Show Announcer (uncredited)


- Alec Baldwin/Missy Elliott
(2003)
... The Tony Bennett Show Announcer (uncredited)",2003,2006
10766,Will Ferrell,actor,1995-2018,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / George W. Bush / Craig Buchanan / ...",140,"1995-2018

Saturday Night Live
(TV Series)

Various / George W. Bush / Craig Buchanan / ...

- Will Ferrell/Chris Stapleton
(2018)
... Host / Various


- Chris Hemsworth/Chance The Rapper
(2015)
... George W. Bush (uncredited)


- John C. Reilly/My Chemical Romance
(2006)
... James Lipton (uncredited)


- Winona Ryder/Moby
(2002)
... Various / Fidel Castro / Alex Trebek / ...


- Kirsten Dunst/Eminem
(2002)
... Various / George W. Bush / Bob Guccione





Show all 140 episodes",1995,2018
10851,Will Ferrell,self,1997-2019,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Self - Host / Self / Various / ...",8,"1997-2019

Saturday Night Live
(TV Series)

Self - Host / Self / Various / ...

- Will Ferrell/King Princess
(2019)
... Self - Host


- Paul Rudd/One Direction
(2013)
... Self / Various (uncredited)


- Will Ferrell/Usher
(2012)
... Self - Host / George W. Bush / Marty Culp / ...


- Will Ferrell/Green Day
(2009)
... Self - Host / George W. Bush / Alex Trebek / ...


- Will Ferrell/Queens of the Stone Age
(2005)
... Self - Host / Alex Trebek / Gene Frenkle / ...





Show all 8 episodes",1997,2019
11033,Chloe Fineman,actress,2019-2022,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / Britney Spears / Tik Tokker / ...",55,"2019-2022

Saturday Night Live
(TV Series)

Various / Britney Spears / Tik Tokker / ...

- Natasha Lyonne/Japanese Breakfast
(2022)


- Selena Gomez/Post Malone
(2022)
... Various


- Lizzo
(2022)
... Britney Spears / Tik Tokker


- Jake Gyllenhaal/Camila Cabello
(2022)
... Presidential aide / backup singer / Beth / ...


- Jerrod Carmichael/Gunna
(2022)
... Girl





Show all 55 episodes",2019,2022
11042,Chloe Fineman,self,2021-2022,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Self / dauther / Taylor / ...",3,"2021-2022

Saturday Night Live
(TV Series)

Self / dauther / Taylor / ...

- Benedict Cumberbatch/Arcade Fire
(2022)
... Self / dauther / Taylor / ...


- Oscar Isaac/Charli XCX
(2022)
... Self / Fox News Ukrainian Invasion Celebration Spectacular phone operator


- Rami Malek/Young Thug
(2021)
... Various",2021,2022
11045,Chloe Fineman,archive_footage,2021-2021,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

White teenage elf girl / Zooey Deschanel",1,"2021

Saturday Night Live
(TV Series)

White teenage elf girl / Zooey Deschanel

- Paul Rudd/Charli XCX
(2021)
... White teenage elf girl / Zooey Deschanel",2021,2021
11222,Will Forte,actor,2002-2012,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / George W. Bush / MacGruber / ...",156,"2002-2012

Saturday Night Live
(TV Series)

Various / George W. Bush / MacGruber / ...

- Will Ferrell/Usher
(2012)
... Hamilton / Greg Stink (uncredited)


- Elton John/Leon Russell
(2011)
... Greg Stink (uncredited)


- Alec Baldwin/Tom Petty & the Heartbreakers
(2010)
... Various


- Betty White/Jay-Z
(2010)
... Various / MacGruber


- Gabourey Sidibe/MGMT
(2010)
... Various





Show all 156 episodes",2002,2012
11249,Will Forte,self,2006-2022,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Self / Self - Host / Man / ...",4,"2006-2022

Saturday Night Live
(TV Series)

Self / Self - Host / Man / ...

- Will Forte/Måneskin
(2022)
... Self - Host


- Kristen Wiig/The XX
(2016)
... Self (uncredited)


- Mick Jagger
(2012)
... Self (uncredited)


- Steve Martin/Prince
(2006)
... Self / Man / Ben / ...",2006,2022
11303,Heidi Gardner,actress,2017-2022,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / Katie / Tik Tokker / ...",99,"2017-2022

Saturday Night Live
(TV Series)

Various / Katie / Tik Tokker / ...

- Natasha Lyonne/Japanese Breakfast
(2022)


- Selena Gomez/Post Malone
(2022)
... Various


- Lizzo
(2022)
... Tik Tokker / clarinetist / friend


- Jake Gyllenhaal/Camila Cabello
(2022)
... Lillian


- Jerrod Carmichael/Gunna
(2022)
... Ainsley Earhardt / Mrs. Klein / Katie / ...





Show all 99 episodes",2017,2022
11318,Heidi Gardner,self,2021-2022,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Self / Bobbie / Mary / ...",2,"2021-2022

Saturday Night Live
(TV Series)

Self / Bobbie / Mary / ...

- Benedict Cumberbatch/Arcade Fire
(2022)
... Self / Bobbie / Mary


- Rami Malek/Young Thug
(2021)
... Various",2021,2022
11610,Janeane Garofalo,actress,1994-1995,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / Susan Molinari / Jodie Foster / ...",14,"1994-1995

Saturday Night Live
(TV Series)

Various / Susan Molinari / Jodie Foster / ...

- George Clooney/The Cranberries
(1995)
... Various


- Deion Sanders/Bon Jovi
(1995)
... Various


- Bob Newhart/Des'ree
(1995)
... Various


- David Hyde Pierce/Live
(1995)
... Various


- Jeff Daniels/Luscious Jackson
(1995)
... Various / Susan Molinari / Jodie Foster / ...





Show all 14 episodes",1994,1995
11732,Ana Gasteyer,actress,1996-2012,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / Margaret Jo McCullin / Martha Stewart / ...",121,"1996-2012

Saturday Night Live
(TV Series)

Various / Margaret Jo McCullin / Martha Stewart / ...

- Will Ferrell/Usher
(2012)
... Various (uncredited)


- Betty White/Jay-Z
(2010)
... Various (uncredited)


- Colin Firth/Norah Jones
(2004)
... Martha Stewart (uncredited)


- Winona Ryder/Moby
(2002)
... Various


- Kirsten Dunst/Eminem
(2002)
... Various





Show all 121 episodes",1996,2012
