person,current,year_start,year_end,num_seasons_total,num_seasons_writer,num_seasons_headwriter,num_seasons_actor,num_seasons_rep,num_seasons_featured,num_seasons_middle,num_seasons_weekend_update,num_episodes_weekend_updates,best_of,num_episodes_hosted,imdb_link,num_episodes_writer,num_episodes_actor,num_episodes_other,coefficient
Anne Beatts,False,1975,1980,5,5,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0064186/?ref_=fn_nm_nm_0,108,41,0,0.023495490666728812
Lorne Michaels,True,1975,2023,43,43,1,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0584427/?ref_=fn_nm_nm_1,833,6,915,1
Marilyn Suzanne Miller,False,1975,1995,7,7,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0588897/?ref_=fn_nm_nm_0,137,21,1,0.02662534082170073
Herbert Sargent,False,1975,1995,17,17,2,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0765109/?ref_=fn_nm_nm_0,319,0,0,0.07416590014626717
Rosie Shuster,False,1975,1988,8,8,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0776874/?ref_=fn_nm_nm_1,161,44,1,0.03347777959031484
Bruce McCall (I),False,1976,1977,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0564620/?ref_=fn_al_nm_0,7,0,0,0.001907203281209946
Neil Levy,False,1977,1978,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0506561/?ref_=fn_nm_nm_1,16,53,3,0.009749481484933932
Brian McConnachie,False,1978,1979,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0566234/?ref_=fn_nm_nm_1,23,3,0,0.0042127892614947215
Walter Williams,False,1978,1979,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0931906/?ref_=fn_nm_nm_1,23,25,25,0.007668430006292092
Tom Gammill,False,1979,1980,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0303991/?ref_=fn_nm_nm_1,20,12,0,0.004984968889096036
Matt Neuman,False,1979,1981,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1238470/?ref_=fn_nm_nm_0,21,1,0,0.004783738435366223
Sarah Paley,False,1979,1980,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1238548/?ref_=fn_nm_nm_0,20,10,0,0.004733052131155181
Max Pross,False,1979,1980,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0698795/?ref_=fn_nm_nm_0,20,14,1,0.005264267903334809
Larry Arnstein,False,1980,1981,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0036784/?ref_=fn_nm_nm_1,12,0,0,0.002509612919764163
Barry W. Blaustein,False,1980,1983,3,3,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0087904/?ref_=fn_nm_nm_1,56,1,22,0.010666845331034
Billy Brown (X),False,1980,1981,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0113126/?ref_=fn_nm_nm_1,13,0,0,0.0026300948474750063
Ferris Butler,False,1980,1981,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm2953521/?ref_=fn_nm_nm_1,12,0,0,0.002509612919764163
John DeBellis,False,1980,1981,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0213377/?ref_=fn_nm_nm_0,12,0,0,0.002509612919764163
Jean Doumanian,False,1980,1981,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0235389/?ref_=fn_nm_nm_1,13,0,109,0.005614760783948172
Nancy Dowd,False,1980,1981,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0235683/?ref_=fn_nm_nm_0,2,0,0,0.0013047936426557293
Leslie Fuller (III),False,1980,1981,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1392887/?ref_=fn_al_nm_2,10,0,0,0.002268649064342476
Mel Green (II),False,1980,1981,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0338154/?ref_=ttfc_fc_wr638,13,0,0,0.0026300948474750063
David Hurwitz,False,1980,1981,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0403791/?ref_=fn_nm_nm_2,12,0,0,0.002509612919764163
Judith Belushi-Pisano,False,1980,1981,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0413147/?ref_=fn_nm_nm_1,1,0,1,0.001211693971242805
Sean Kelly (V),False,1980,1981,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0446859/?ref_=fn_nm_nm_1,2,0,0,0.0013047936426557293
Mitchell Kriegman,False,1980,1981,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0471233/?ref_=fn_nm_nm_0,5,5,1,0.002323413576938314
Patricia Marx,False,1980,1981,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0555658/?ref_=fn_nm_nm_2,12,0,0,0.002509612919764163
Douglas McGrath,False,1980,1981,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0569790/?ref_=fn_nm_nm_0,13,1,0,0.0027560532264454336
Tom Moore (III),False,1980,1981,1,1,1,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0601964/?ref_=fn_nm_nm_1,1,0,0,0.15118431171494487
Pamela Norris,False,1980,1984,4,4,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0635873/?ref_=fn_nm_nm_1,65,1,0,0.012212602829111418
Mark Reisman,False,1980,1981,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0718459/?ref_=fn_nm_nm_1,4,0,0,0.0015457574980774162
David Sheffield,False,1980,1983,3,3,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0790775/?ref_=fn_nm_nm_1,56,1,39,0.011132343688098623
Jeremy Stevens,False,1980,1981,1,1,1,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0828484/?ref_=fn_nm_nm_1,2,0,0,0.15130479364265573
Bob Tischler,False,1980,1985,5,5,4,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0864293/?ref_=fn_nm_nm_1,72,1,80,0.13631038661415487
Mason Williams,False,1980,1981,1,1,1,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0931281/?ref_=fn_nm_nm_1,2,0,0,0.15130479364265573
Dirk Wittenborn,False,1980,1981,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0936999/?ref_=fn_nm_nm_1,1,0,0,0.001184311714944886
Joe Bodolai,False,1981,1982,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1188688/?ref_=fn_nm_nm_1,20,0,0,0.0034734683414509096
Nate Herman,False,1981,1985,4,4,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm2953522/?ref_=fn_nm_nm_1,77,7,0,0.0144141362354641
Nelson Lyon,False,1981,1982,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0528962/?ref_=fn_nm_nm_1,20,2,0,0.0037253850993917642
Mark O'Donnell (IV),False,1981,1982,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm2843346/?ref_=fn_nm_nm_1,20,0,0,0.0034734683414509096
Margaret Oberman,False,1981,1985,4,4,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0643315/?ref_=fn_nm_nm_1,57,0,0,0.011122789028454243
Andrew Smith (III),False,1981,1985,4,4,2,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0807308/?ref_=ttfc_fc_wr367,60,5,0,0.08711402670643892
Terry Southern,False,1981,1982,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0816143/?ref_=fn_nm_nm_1,20,0,0,0.0034734683414509096
Eliot Wald,False,1981,1985,4,4,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0906997/?ref_=fn_nm_nm_1,77,0,1,0.013559809838969029
Andrew Kurtzman,False,1982,1985,3,3,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0476065/?ref_=fn_nm_nm_1,56,1,1,0.010091817948777702
Ellen L. Fogle,False,1982,1983,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0283941/?ref_=fn_nm_nm_1,20,0,0,0.0034734683414509096
Tracy Tormé,False,1982,1983,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0868124/?ref_=fn_nm_nm_1,19,0,0,0.003352986413740067
Andy Breckman,False,1983,1987,3,3,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0106563/?ref_=fn_nm_nm_1,63,10,5,0.012178345878679126
Adam Green (II),False,1983,1984,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0337580/?ref_=ttfc_fc_wr591,19,0,0,0.003352986413740067
Kevin Kelton,False,1983,1985,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0447124/?ref_=fn_nm_nm_0,37,4,0,0.007089324415650999
Michael C. McCarthy,False,1983,1984,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0565258/?ref_=fn_nm_nm_0,16,0,0,0.0029915406306075367
Larry David,False,1984,1985,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0202970/?ref_=fn_nm_nm_1,18,18,4,0.005609284332688588
Rob Riley (I),False,1984,1985,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0726988/?ref_=fn_al_nm_7,16,5,0,0.003621332525459672
Jack Handey,False,1985,2001,10,10,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0359532/?ref_=fn_nm_nm_1,179,0,80,0.03439514343641491
Lanier Laney,False,1985,1986,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0485640/?ref_=fn_nm_nm_0,18,2,0,0.0034844212439700773
Carol Leifer,False,1985,1986,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0500140/?ref_=fn_nm_nm_0,18,4,0,0.003736338001910932
George Meyer,False,1985,1989,4,4,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0583127/?ref_=fn_nm_nm_0,71,0,0,0.01280953601640605
Bruce McCulloch,False,1985,1986,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0567126/?ref_=fn_nm_nm_1,0,3,3,0.0015238516930390809
Richard Rosen (IV),False,1985,1986,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm2399917/?ref_=fn_nm_nm_1,3,0,0,0.0014252755703665727
Suzy Schneider,False,1985,1986,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm2954512/?ref_=fn_nm_nm_2,6,0,0,0.0017867213534991028
John Swartzwelder,False,1985,1986,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0841990/?ref_=fn_nm_nm_1,18,4,0,0.003736338001910932
E. Jean Carroll,False,1986,1987,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0140800/?ref_=fn_nm_nm_0,18,0,0,0.0032325044860292236
Marc Shaiman,False,1986,1989,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0003299/?ref_=fn_nm_nm_0,20,14,4,0.0064102444594626076
Bonnie Turner,False,1986,1992,6,6,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0877425/?ref_=fn_nm_nm_0,130,13,1,0.023710470508727367
Terry Turner,False,1986,1992,6,6,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0877901/?ref_=fn_nm_nm_0,130,10,2,0.023359977628114002
Jon Vitti,False,1986,1987,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0900140/?ref_=fn_nm_nm_1,20,0,0,0.0034734683414509096
Christine Zander,False,1986,1993,7,7,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0952863/?ref_=fn_nm_nm_0,130,25,1,0.026285800843606537
Greg Daniels,False,1987,1990,3,3,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0199948/?ref_=fn_nm_nm_1,53,0,0,0.009577031530376827
Conan O'Brien,False,1987,1991,4,4,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0005277/?ref_=fn_nm_nm_0,72,21,3,0.015657290671389622
Bob Odenkirk,False,1987,1991,4,4,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0644022/?ref_=fn_nm_nm_1,131,13,1,0.021703292861970123
John Bowman,False,1988,1989,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0101337/?ref_=fn_nm_nm_0,21,2,0,0.0038458670271026077
Shannon Gaughan,False,1988,1989,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0969183/?ref_=fn_nm_nm_0,20,0,0,0.0034734683414509096
Tom Hymes,False,1989,1990,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1631821/?ref_=fn_nm_nm_1,16,0,0,0.0029915406306075367
Dan McGrath (I),False,1990,1992,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0569775/?ref_=fn_nm_nm_1,36,0,0,0.006465008972058447
Andy Robin (I),False,1990,1991,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0732165/?ref_=fn_nm_nm_1,18,1,0,0.0033584628649996505
Warren Hutcherson,False,1991,1993,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0404209/?ref_=fn_nm_nm_0,40,4,1,0.0074781524550814465
Steve Koren,False,1991,1998,6,6,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0466175/?ref_=fn_nm_nm_0,120,6,1,0.021623942578825942
Ian Maxtone-Graham,False,1991,1995,4,4,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0561631/?ref_=fn_nm_nm_0,61,4,1,0.012135932511477245
Bruce Handy,False,1992,1993,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1554692/?ref_=fn_nm_nm_0,19,0,0,0.003352986413740067
Dawna Kaufmann,False,1992,1993,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0442126/?ref_=fn_nm_nm_1,18,0,0,0.0032325044860292236
David Mandel,False,1992,1995,3,3,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0541635/?ref_=fn_nm_nm_0,61,3,0,0.010918762088974854
Vanessa Middleton,False,1992,1993,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0585583/?ref_=fn_nm_nm_1,19,0,0,0.003352986413740067
Glenn Rockowitz,False,1992,1993,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1032308/?ref_=fn_nm_nm_0,6,0,0,0.0017867213534991028
Dave Attell,False,1993,1994,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0040995/?ref_=fn_nm_nm_0,20,7,0,0.0043551769942438995
Tony De Sena (I),False,1993,1994,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1096215/?ref_=fn_al_nm_0,20,0,0,0.0034734683414509096
Tim Herlihy,False,1993,2000,7,7,1,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0379056/?ref_=fn_nm_nm_0,137,1,60,0.04715029779244083
Steve Lookner,False,1993,1995,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0382769/?ref_=fn_nm_nm_1,40,2,0,0.007198853440842675
Lewis Morton,False,1993,1995,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0608034/?ref_=fn_nm_nm_0,40,1,1,0.007100277318170166
Ross Abrash,False,1994,1998,4,4,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1039205/?ref_=fn_nm_nm_0,80,0,0,0.013893873365803638
Norm Hiscock,False,1994,1997,3,3,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0386780/?ref_=fn_nm_nm_0,60,4,1,0.010951620796532358
Brian Kelley (I),False,1994,1995,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0445877/?ref_=fn_al_nm_5,20,0,0,0.0034734683414509096
Margo Meyer,False,1994,1995,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm12200979/?ref_=fn_nm_nm_0,0,0,0,0.0010638297872340426
Adam Resnick,False,1994,1995,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0720304/?ref_=fn_nm_nm_1,20,0,0,0.0034734683414509096
Drake Sather,False,1994,1995,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0766153/?ref_=fn_nm_nm_0,21,0,0,0.003593950269161753
Steve Higgins,True,1995,2023,28,28,1,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0383492/?ref_=fn_nm_nm_1,534,61,483,0.1203908172063773
Cindy Caponera,False,1995,1998,3,3,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0135359/?ref_=fn_nm_nm_0,60,10,0,0.011679988814057001
Hugh Fink,False,1995,2002,7,7,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0277813/?ref_=fn_nm_nm_1,141,5,2,0.025119316725315186
Tom Gianas,False,1995,1998,3,3,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0316139/?ref_=fn_nm_nm_1,60,4,0,0.010924238540234438
Peter Gaulke,False,1995,1996,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0310087/?ref_=fn_nm_nm_1,16,0,0,0.0029915406306075367
Erin Fraser (III),False,1995,1996,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0549524/?ref_=fn_al_nm_0,18,0,0,0.0032325044860292236
Adam McKay,False,1995,2001,6,6,3,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0570912/?ref_=fn_nm_nm_1,126,15,9,0.0986995176062082
Dennis McNicholas,False,1995,2023,18,18,4,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0574005/?ref_=fn_nm_nm_0,323,19,144,0.09773418626148694
Lori Nasso,False,1995,1999,4,4,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0621994/?ref_=fn_nm_nm_0,79,14,1,0.015564190999976697
Paula Pell,False,1995,2009,18,18,2,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0996134/?ref_=fn_nm_nm_1,311,66,4,0.08170826439219159
Frank Sebastiano,False,1995,2006,9,9,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0780980/?ref_=fn_nm_nm_0,173,3,1,0.030823098972291487
Andrew Steele (I),False,1995,2008,13,13,4,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0824482/?ref_=fn_nm_nm_1,240,1,0,0.08902525441746155
David Breckman,False,1996,1997,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1184512/?ref_=fn_nm_nm_0,20,0,0,0.0034734683414509096
Robert Carlock,False,1996,2001,5,5,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1061622/?ref_=fn_nm_nm_1,103,7,0,0.01861049614318007
Stephen Colbert,False,1996,1997,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0170306/?ref_=fn_nm_nm_0,23,17,0,0.005976206567080701
Matt Piedmont,False,1996,2002,6,6,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0682126/?ref_=fn_nm_nm_1,119,3,0,0.021098203257905897
Scott Wainio,False,1996,2003,7,7,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0906511/?ref_=fn_nm_nm_0,139,7,1,0.025102887371536438
Michael McCullers,False,1997,1998,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0567112/?ref_=fn_nm_nm_0,20,0,0,0.0034734683414509096
Michael Schur,False,1997,2004,7,7,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1321658/?ref_=fn_nm_nm_0,138,3,40,0.025546479923562727
Jerry Collins,False,1998,2000,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0172381/?ref_=fn_nm_nm_0,39,0,0,0.006826454755190977
Steven Cragg,False,1998,2000,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0185735/?ref_=fn_nm_nm_1,39,3,0,0.007204329892102259
Tony Daro,False,1998,2001,3,3,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1720857/?ref_=fn_nm_nm_0,58,0,0,0.010179441168931044
Richard Francese,False,1998,2000,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0289927/?ref_=fn_nm_nm_0,39,11,1,0.008239379180163596
Matt Graham (II),False,1998,1999,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1757994/?ref_=fn_nm_nm_1,18,0,0,0.0032325044860292236
Ray James,False,1998,1999,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0416853/?ref_=fn_nm_nm_0,22,1,0,0.0038403905758430243
T. Sean Shannon,False,1998,2006,8,8,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0780643/?ref_=fn_nm_nm_0,158,0,7,0.027738458670271027
Kevin Brennan,False,1999,2000,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0107339/?ref_=fn_nm_nm_1,0,0,0,0.0010638297872340426
Ali Reza,False,1999,2000,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0995946/?ref_=fn_nm_nm_0,17,0,0,0.00311202255831838
J.J. Philbin,False,1999,2000,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0679902/?ref_=fn_nm_nm_1,17,0,0,0.00311202255831838
James Anderson (XI),False,2000,2020,20,20,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1318184/?ref_=fn_al_nm_9,404,9,0,0.07108491995059542
Melanie Graham (I),False,2000,2001,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0334218/?ref_=fn_nm_nm_1,20,0,0,0.0034734683414509096
Erik Kenward,True,2000,2023,23,23,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1334502/?ref_=fn_nm_nm_0,435,0,228,0.08312087809652537
Jon Rosenfeld,False,2000,2001,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1720897/?ref_=fn_nm_nm_2,18,0,0,0.0032325044860292236
Doug Abeles,False,2001,2011,10,10,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1263023/?ref_=fn_nm_nm_1,197,3,66,0.0365583416839505
Max Brooks,False,2001,2003,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0112150/?ref_=fn_nm_nm_0,40,0,0,0.006946936682901819
Louis C.K.,False,2001,2004,3,3,0,0,0,0,0,0,0,0,4,https://www.imdb.com/name/nm0127373/?ref_=fn_nm_nm_0,15,0,4,0.005108247302556454
Charlie Grandy,False,2001,2008,7,7,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0334946/?ref_=fn_nm_nm_0,131,1,32,0.02423213162126261
Ken Scarborough,False,2001,2004,3,3,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0769095/?ref_=fn_nm_nm_0,75,0,0,0.01222763394001538
Barry Sobel,False,2000,2001,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0811746/?ref_=fn_nm_nm_0,20,0,0,0.0034734683414509096
Leo Allen,False,2002,2005,3,3,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1179485/?ref_=fn_nm_nm_1,60,3,0,0.010798280161264011
James Eagan,False,2002,2004,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0247063/?ref_=fn_nm_nm_0,39,0,0,0.006826454755190977
Corwin Moore,False,2002,2003,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0601074/?ref_=fn_nm_nm_1,20,0,0,0.0034734683414509096
Eric Slovin,False,2002,2005,3,3,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0806246/?ref_=fn_nm_nm_1,60,11,0,0.011805947193027428
Emily Spivey,False,2002,2010,8,8,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0819225/?ref_=fn_nm_nm_1,180,7,1,0.031106476194915057
Jordan Black,False,2003,2004,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0085359/?ref_=fn_nm_nm_1,20,0,0,0.0034734683414509096
Liz Cackowski,False,2003,2006,3,3,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1560199/?ref_=fn_nm_nm_0,59,5,0,0.010929714991494022
David Iserson,False,2003,2004,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1503347/?ref_=fn_nm_nm_0,20,0,0,0.0034734683414509096
Joe Kelly,False,2003,2013,3,3,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1918708/?ref_=fn_nm_nm_0,59,1,0,0.010425881475612313
John Lutz,False,2003,2010,7,7,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0527572/?ref_=fn_nm_nm_0,115,21,0,0.02394735615576426
J.B. Smoove,False,2003,2006,3,3,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1356578/?ref_=fn_nm_nm_0,60,12,0,0.011931905571997855
Rich Talarico,False,2003,2005,2,2,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm0847822/?ref_=fn_nm_nm_0,40,1,0,0.007072895061872246
Alex Baze,False,2004,2014,10,10,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1733287/?ref_=fn_nm_nm_0,195,0,56,0.03566568012863834
Matt Murray (I),False,2004,2007,3,3,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1230361/?ref_=fn_al_nm_2,139,0,0,0.01993847731350936
Lauren Pomerantz,False,2004,2005,1,1,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1729395/?ref_=fn_nm_nm_0,20,0,0,0.0034734683414509096
Akiva Schaffer,False,2005,2011,6,6,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1676223/?ref_=fn_nm_nm_0,116,8,71,0.02331068956677775
Jorma Taccone,False,2005,2011,6,6,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1672246/?ref_=fn_nm_nm_0,100,22,29,0.02199634126447764
Bryan H. Tucker,True,2005,2023,18,18,5,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1317704/?ref_=fn_nm_nm_1,327,9,0,0.10134681860905906
Marika Sawyer,False,2006,2014,8,8,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm2854926/?ref_=fn_nm_nm_0,142,2,0,0.025870988790752954
John Solomon,False,2006,2015,9,9,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1231253/?ref_=fn_nm_nm_0,148,7,17,0.028753000396168814
Rob Klein,False,2007,2017,10,10,3,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm2914092/?ref_=fn_nm_nm_1,182,0,0,0.07756600871571391
Simon Rich,False,2007,2011,4,4,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm2919995/?ref_=fn_nm_nm_0,84,4,0,0.014879634592528723
Kent Sublette,True,2007,2023,16,16,7,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm1229014/?ref_=fn_nm_nm_1,249,3,0,0.11302415173265595
Jessica Conrad,False,2008,2012,4,4,0,0,0,0,0,0,0,0,0,https://www.imdb.com/name/nm3165087/?ref_=fn_nm_nm_0,82,0,0,0.014134837221225327
